City,Date,CO,NH3,NO2,AQI,AQI_Bucket
Chennai,2017-11-25,0.65,222.46,29.43,184.0,Moderate
Chennai,2017-11-26,0.65,297.64,20.3,136.0,Moderate
Chennai,2017-11-27,0.68,233.86,22.88,87.0,Satisfactory
Chennai,2017-11-28,0.76,214.16,24.99,71.0,Satisfactory
Chennai,2017-11-29,0.84,283.1,22.77,75.0,Satisfactory
Chennai,2017-11-30,0.58,303.53,18.18,69.0,Satisfactory
Chennai,2017-12-01,0.58,248.09,19.48,57.0,Satisfactory
Chennai,2017-12-02,0.54,143.57,22.98,71.0,Satisfactory
Chennai,2017-12-03,0.52,285.55,20.28,90.0,Satisfactory
Chennai,2017-12-04,0.57,292.52,20.66,86.0,Satisfactory
Chennai,2017-12-05,0.7,280.86,23.6,76.0,Satisfactory
Chennai,2017-12-06,0.67,193.71,24.27,70.0,Satisfactory
Chennai,2017-12-07,0.47,175.89,27.5,143.0,Moderate
Chennai,2017-12-08,0.0,138.62,30.39,175.0,Moderate
Chennai,2017-12-09,0.0,139.26,31.89,156.0,Moderate
Chennai,2017-12-10,0.15,166.28,25.72,163.0,Moderate
Chennai,2017-12-11,0.26,161.75,20.47,153.0,Moderate
Chennai,2017-12-12,0.31,132.96,23.37,126.0,Moderate
Chennai,2017-12-13,0.27,102.84,16.18,93.0,Satisfactory
Chennai,2017-12-14,0.23,149.76,18.6,81.0,Satisfactory
Chennai,2017-12-15,0.35,244.64,21.82,95.0,Satisfactory
Chennai,2017-12-16,0.17,208.34,26.4,107.0,Moderate
Chennai,2017-12-17,0.09,249.01,18.91,102.0,Moderate
Chennai,2017-12-18,0.22,292.82,21.38,97.0,Satisfactory
Chennai,2017-12-19,0.22,185.64,25.36,91.0,Satisfactory
Chennai,2017-12-20,0.22,286.59,27.36,78.0,Satisfactory
Chennai,2017-12-21,0.34,166.91,21.58,93.0,Satisfactory
Chennai,2017-12-22,0.24,242.56,23.85,109.0,Moderate
Chennai,2017-12-23,0.14,276.08,24.36,89.0,Satisfactory
Chennai,2017-12-24,0.24,265.09,23.99,83.0,Satisfactory
Chennai,2017-12-25,0.3,244.15,21.51,88.0,Satisfactory
Chennai,2017-12-26,0.29,161.15,25.27,113.0,Moderate
Chennai,2017-12-27,0.1,249.49,23.92,186.0,Moderate
Chennai,2017-12-28,0.09,192.98,28.09,148.0,Moderate
Chennai,2017-12-29,0.22,207.46,28.73,95.0,Satisfactory
Chennai,2017-12-30,0.28,180.82,20.64,108.0,Moderate
Chennai,2017-12-31,0.17,181.06,12.16,77.0,Satisfactory
Chennai,2018-01-01,0.03,175.58,13.63,89.0,Satisfactory
Chennai,2018-01-02,0.0,188.29,14.95,94.0,Satisfactory
Chennai,2018-01-03,0.0,219.26,17.75,105.0,Moderate
Chennai,2018-01-04,0.0,165.62,18.64,184.0,Moderate
Chennai,2018-01-05,0.0,202.45,17.43,176.0,Moderate
Chennai,2018-01-06,0.0,112.41,17.86,158.0,Moderate
Chennai,2018-01-07,0.0,110.73,15.6,136.0,Moderate
Chennai,2018-01-08,0.0,140.2,16.08,124.0,Moderate
Chennai,2018-01-09,0.39,145.13,14.02,121.0,Moderate
Chennai,2018-01-10,1.15,162.93,14.84,96.0,Satisfactory
Chennai,2018-01-11,0.94,72.38,18.07,179.0,Moderate
Chennai,2018-01-12,0.98,113.39,17.84,156.0,Moderate
Chennai,2018-01-13,1.23,125.32,20.65,258.0,Poor
Chennai,2018-01-14,0.93,106.54,14.82,207.0,Poor
Chennai,2018-01-15,0.89,113.32,11.26,147.0,Moderate
Chennai,2018-01-16,0.9,104.84,11.0,134.0,Moderate
Chennai,2018-01-17,0.83,100.53,16.94,161.0,Moderate
Chennai,2018-01-18,0.76,91.94,20.78,129.0,Moderate
Chennai,2018-01-19,0.64,108.54,20.38,164.0,Moderate
Chennai,2018-01-20,0.68,108.56,22.48,140.0,Moderate
Chennai,2018-01-21,0.6,103.69,20.48,180.0,Moderate
Chennai,2018-01-22,0.68,101.27,20.41,167.0,Moderate
Chennai,2018-01-23,0.62,110.34,19.77,149.0,Moderate
Chennai,2018-01-24,0.7,93.14,21.32,164.0,Moderate
Chennai,2018-01-25,0.9,104.38,21.0,187.0,Moderate
Chennai,2018-01-26,0.83,119.36,18.96,172.0,Moderate
Chennai,2018-01-27,0.89,101.14,19.89,161.0,Moderate
Chennai,2018-01-28,0.78,119.98,18.29,165.0,Moderate
Chennai,2018-01-29,0.82,111.87,18.74,155.0,Moderate
Chennai,2018-01-30,0.79,122.94,22.09,148.0,Moderate
Chennai,2018-01-31,0.86,97.57,23.76,159.0,Moderate
Chennai,2018-02-01,0.79,86.28,22.16,135.0,Moderate
Chennai,2018-02-02,0.95,97.64,19.5,167.0,Moderate
Chennai,2018-02-03,0.83,82.28,21.27,164.0,Moderate
Chennai,2018-02-04,0.75,111.54,17.68,123.0,Moderate
Chennai,2018-02-05,0.79,113.67,20.26,79.0,Satisfactory
Chennai,2018-02-06,0.95,98.59,23.45,94.0,Satisfactory
Chennai,2018-02-07,0.94,123.21,19.56,78.0,Satisfactory
Chennai,2018-02-08,1.05,105.14,20.56,78.0,Satisfactory
Chennai,2018-02-09,1.03,105.71,18.92,107.0,Moderate
Chennai,2018-02-10,0.97,104.86,20.61,113.0,Moderate
Chennai,2018-02-11,0.91,117.81,17.7,131.0,Moderate
Chennai,2018-02-12,0.85,115.09,16.23,88.0,Satisfactory
Chennai,2018-02-13,1.0,98.89,19.55,130.0,Moderate
Chennai,2018-02-14,1.0,111.03,22.9,138.0,Moderate
Chennai,2018-02-15,0.97,93.85,21.91,99.0,Satisfactory
Chennai,2018-02-16,0.85,113.45,16.26,119.0,Moderate
Chennai,2018-02-17,1.05,114.38,13.41,113.0,Moderate
Chennai,2018-02-18,0.79,106.9,15.41,133.0,Moderate
Chennai,2018-02-19,0.8,99.43,14.05,150.0,Moderate
Chennai,2018-02-20,0.74,107.66,15.79,118.0,Moderate
Chennai,2018-02-21,0.75,99.2,14.74,146.0,Moderate
Chennai,2018-02-22,0.73,98.69,14.41,118.0,Moderate
Chennai,2018-02-23,0.68,90.07,13.99,95.0,Satisfactory
Chennai,2018-02-24,0.75,112.82,12.06,88.0,Satisfactory
Chennai,2018-02-25,0.71,97.94,11.05,73.0,Satisfactory
Chennai,2018-02-26,0.75,100.03,12.98,76.0,Satisfactory
Chennai,2018-02-27,0.66,111.54,15.12,117.0,Moderate
Chennai,2018-02-28,0.66,110.95,15.61,182.0,Moderate
Chennai,2018-03-01,0.76,105.03,11.85,234.0,Poor
Chennai,2018-03-02,0.7,96.9,11.84,138.0,Moderate
Chennai,2018-03-03,0.76,96.52,12.93,115.0,Moderate
Chennai,2018-03-04,0.72,82.41,13.37,113.0,Moderate
Chennai,2018-03-05,0.69,95.51,10.82,93.0,Satisfactory
Chennai,2018-03-06,0.69,70.36,12.83,83.0,Satisfactory
Chennai,2018-03-07,0.86,71.38,16.63,113.0,Moderate
Chennai,2018-03-08,0.8,29.09,22.6,174.0,Moderate
Chennai,2018-03-09,0.84,24.26,16.09,126.0,Moderate
Chennai,2018-03-10,0.75,24.08,16.87,128.0,Moderate
Chennai,2018-03-11,0.75,28.13,15.41,128.0,Moderate
Chennai,2018-03-12,1.03,32.54,14.81,118.0,Moderate
Chennai,2018-03-13,1.02,32.28,12.19,153.0,Moderate
Chennai,2018-03-14,0.99,43.52,15.1,74.0,Satisfactory
Chennai,2018-03-15,0.95,22.56,17.35,69.0,Satisfactory
Chennai,2018-03-16,0.98,25.11,17.5,78.0,Satisfactory
Chennai,2018-03-17,1.09,27.18,21.89,81.0,Satisfactory
Chennai,2018-03-18,0.88,49.3,18.04,89.0,Satisfactory
Chennai,2018-03-19,0.99,20.84,18.55,88.0,Satisfactory
Chennai,2018-03-20,0.94,28.44,17.18,108.0,Moderate
Chennai,2018-03-21,1.18,28.56,19.74,115.0,Moderate
Chennai,2018-03-22,1.35,27.01,18.66,93.0,Satisfactory
Chennai,2018-03-23,0.98,35.85,17.43,94.0,Satisfactory
Chennai,2018-03-24,1.14,28.05,13.95,127.0,Moderate
Chennai,2018-03-25,1.11,25.24,11.45,117.0,Moderate
Chennai,2018-03-26,1.09,25.31,17.56,109.0,Moderate
Chennai,2018-03-27,1.07,24.62,19.36,109.0,Moderate
Chennai,2018-03-28,1.31,22.42,20.71,90.0,Satisfactory
Chennai,2018-03-29,0.91,28.69,21.13,70.0,Satisfactory
Chennai,2018-03-30,0.88,24.3,17.4,69.0,Satisfactory
Chennai,2018-03-31,0.82,18.18,17.85,75.0,Satisfactory
Chennai,2018-04-01,0.79,19.7,18.58,86.0,Satisfactory
Chennai,2018-04-02,0.74,30.41,21.64,67.0,Satisfactory
Chennai,2018-04-03,0.78,29.2,18.82,68.0,Satisfactory
Chennai,2018-04-04,0.97,25.19,22.47,71.0,Satisfactory
Chennai,2018-04-05,1.07,29.5,19.4,81.0,Satisfactory
Chennai,2018-04-06,0.91,23.39,23.13,103.0,Moderate
Chennai,2018-04-07,0.59,21.23,18.76,84.0,Satisfactory
Chennai,2018-04-08,0.58,20.5,16.5,62.0,Satisfactory
Chennai,2018-04-09,0.51,180.87,18.95,70.0,Satisfactory
Chennai,2018-04-10,0.78,17.58,15.68,66.0,Satisfactory
Chennai,2018-04-11,0.77,39.23,18.65,66.0,Satisfactory
Chennai,2018-04-12,0.85,56.56,17.92,61.0,Satisfactory
Chennai,2018-04-13,0.92,58.65,23.73,63.0,Satisfactory
Chennai,2018-04-14,0.86,54.65,20.28,61.0,Satisfactory
Chennai,2018-04-15,0.74,43.94,18.36,59.0,Satisfactory
Chennai,2018-04-16,0.9,43.78,20.35,61.0,Satisfactory
Chennai,2018-04-17,1.06,36.47,21.92,62.0,Satisfactory
Chennai,2018-04-18,0.87,27.48,21.77,56.0,Satisfactory
Chennai,2018-04-19,0.93,38.75,23.87,71.0,Satisfactory
Chennai,2018-04-20,0.82,25.66,23.67,65.0,Satisfactory
Chennai,2018-04-21,0.85,35.95,24.81,66.0,Satisfactory
Chennai,2018-04-22,0.8,28.55,20.92,55.0,Satisfactory
Chennai,2018-04-23,0.78,26.69,21.53,65.0,Satisfactory
Chennai,2018-04-24,0.85,37.21,23.98,76.0,Satisfactory
Chennai,2018-04-25,0.85,40.34,22.21,78.0,Satisfactory
Chennai,2018-04-26,0.81,54.19,26.2,89.0,Satisfactory
Chennai,2018-04-27,0.88,72.04,31.66,74.0,Satisfactory
Chennai,2018-04-28,0.82,73.01,33.17,62.0,Satisfactory
Chennai,2018-04-29,0.84,82.96,31.66,59.0,Satisfactory
Chennai,2018-04-30,0.8,87.15,40.82,68.0,Satisfactory
Chennai,2018-05-01,1.71,100.02,98.77,92.0,Satisfactory
Chennai,2018-05-02,0.91,77.84,70.0,112.0,Moderate
Chennai,2018-05-03,0.71,106.6,32.62,111.0,Moderate
Chennai,2018-05-04,0.77,209.32,73.31,127.0,Moderate
Chennai,2018-05-05,0.8,125.47,79.04,128.0,Moderate
Chennai,2018-05-06,0.73,31.71,39.13,77.0,Satisfactory
Chennai,2018-05-07,0.78,43.43,36.82,75.0,Satisfactory
Chennai,2018-05-08,0.74,69.61,39.54,77.0,Satisfactory
Chennai,2018-05-09,1.37,63.64,47.0,94.0,Satisfactory
Chennai,2018-05-10,0.93,64.97,30.4,80.0,Satisfactory
Chennai,2018-05-11,1.1,50.25,27.47,70.0,Satisfactory
Chennai,2018-05-12,1.18,27.99,25.94,74.0,Satisfactory
Chennai,2018-05-13,1.2,24.47,23.98,77.0,Satisfactory
Chennai,2018-05-14,1.15,29.59,24.3,71.0,Satisfactory
Chennai,2018-05-15,1.24,29.09,25.39,79.0,Satisfactory
Chennai,2018-05-16,1.27,36.46,25.05,81.0,Satisfactory
Chennai,2018-05-17,1.16,33.18,24.77,82.0,Satisfactory
Chennai,2018-05-18,0.86,46.55,25.61,70.0,Satisfactory
Chennai,2018-05-19,0.86,49.08,23.85,81.0,Satisfactory
Chennai,2018-05-20,0.85,32.6,22.6,66.0,Satisfactory
Chennai,2018-05-21,0.8,54.28,23.98,64.0,Satisfactory
Chennai,2018-05-22,0.81,32.11,32.72,82.0,Satisfactory
Chennai,2018-05-23,0.84,39.14,24.14,84.0,Satisfactory
Chennai,2018-05-24,0.78,65.33,24.44,73.0,Satisfactory
Chennai,2018-05-25,0.86,71.63,21.67,64.0,Satisfactory
Chennai,2018-05-26,0.88,59.67,20.58,65.0,Satisfactory
Chennai,2018-05-27,0.86,80.83,20.89,79.0,Satisfactory
Chennai,2018-05-28,0.82,86.37,19.46,77.0,Satisfactory
Chennai,2018-05-29,0.84,63.53,20.06,88.0,Satisfactory
Chennai,2018-05-30,0.84,33.63,20.48,82.0,Satisfactory
Chennai,2018-05-31,0.82,43.79,20.55,85.0,Satisfactory
Chennai,2018-06-01,0.81,37.94,23.83,98.0,Satisfactory
Chennai,2018-06-02,0.84,27.51,23.29,124.0,Moderate
Chennai,2018-06-03,0.85,26.94,22.96,98.0,Satisfactory
Chennai,2018-06-04,0.76,25.18,22.99,83.0,Satisfactory
Chennai,2018-06-05,0.77,28.25,22.66,86.0,Satisfactory
Chennai,2018-06-06,0.88,18.57,25.11,79.0,Satisfactory
Chennai,2018-06-07,0.83,17.85,22.5,66.0,Satisfactory
Chennai,2018-06-08,0.79,14.52,21.78,71.0,Satisfactory
Chennai,2018-06-09,0.82,20.33,20.74,67.0,Satisfactory
Chennai,2018-06-10,0.79,32.25,19.98,73.0,Satisfactory
Chennai,2018-06-11,0.74,34.82,23.47,73.0,Satisfactory
Chennai,2018-06-12,0.8,30.86,23.69,88.0,Satisfactory
Chennai,2018-06-13,0.85,30.88,32.22,88.0,Satisfactory
Chennai,2018-06-14,0.8,30.39,24.55,91.0,Satisfactory
Chennai,2018-06-15,0.82,21.96,21.03,97.0,Satisfactory
Chennai,2018-06-16,0.83,38.18,21.35,114.0,Moderate
Chennai,2018-06-17,0.78,19.59,23.76,86.0,Satisfactory
Chennai,2018-06-18,0.78,21.13,23.43,99.0,Satisfactory
Chennai,2018-06-19,0.81,38.81,20.36,90.0,Satisfactory
Chennai,2018-06-20,0.79,31.04,26.73,104.0,Moderate
Chennai,2018-06-21,0.8,32.22,20.06,107.0,Moderate
Chennai,2018-06-22,0.79,37.83,20.51,107.0,Moderate
Chennai,2018-06-23,0.79,43.98,21.55,102.0,Moderate
Chennai,2018-06-24,0.81,52.01,19.88,109.0,Moderate
Chennai,2018-06-25,0.8,26.04,21.68,101.0,Moderate
Chennai,2018-06-26,0.8,25.85,21.88,112.0,Moderate
Chennai,2018-06-27,0.81,36.12,20.83,133.0,Moderate
Chennai,2018-06-28,0.81,21.69,20.9,127.0,Moderate
Chennai,2018-06-29,0.81,40.02,21.91,98.0,Satisfactory
Chennai,2018-06-30,0.78,14.13,20.79,135.0,Moderate
Chennai,2018-07-01,0.79,33.38,19.07,150.0,Moderate
Chennai,2018-07-02,0.87,28.95,19.61,150.0,Moderate
Chennai,2018-07-03,0.88,43.75,18.16,159.0,Moderate
Chennai,2018-07-04,0.86,50.44,19.43,93.0,Satisfactory
Chennai,2018-07-05,0.84,26.72,21.43,97.0,Satisfactory
Chennai,2018-07-06,0.9,47.54,23.44,128.0,Moderate
Chennai,2018-07-07,0.84,19.0,24.81,135.0,Moderate
Chennai,2018-07-08,0.83,59.16,20.86,80.0,Satisfactory
Chennai,2018-07-09,0.78,67.32,19.03,106.0,Moderate
Chennai,2018-07-10,0.82,57.23,19.54,103.0,Moderate
Chennai,2018-07-11,0.77,67.81,19.78,97.0,Satisfactory
Chennai,2018-07-12,0.8,51.13,19.71,77.0,Satisfactory
Chennai,2018-07-13,0.77,53.15,23.06,84.0,Satisfactory
Chennai,2018-07-14,0.78,68.04,20.11,76.0,Satisfactory
Chennai,2018-07-15,0.78,62.6,19.19,92.0,Satisfactory
Chennai,2018-07-16,0.73,63.57,18.5,79.0,Satisfactory
Chennai,2018-07-17,0.85,60.52,21.86,66.0,Satisfactory
Chennai,2018-07-18,0.82,51.1,21.3,69.0,Satisfactory
Chennai,2018-07-19,0.81,58.85,20.18,79.0,Satisfactory
Chennai,2018-07-20,0.77,68.89,20.54,71.0,Satisfactory
Chennai,2018-07-21,0.79,67.71,20.42,70.0,Satisfactory
Chennai,2018-07-22,0.83,69.06,19.34,87.0,Satisfactory
Chennai,2018-07-23,0.74,64.01,19.84,101.0,Moderate
Chennai,2018-07-24,0.81,81.33,20.72,87.0,Satisfactory
Chennai,2018-07-25,0.81,61.69,20.48,68.0,Satisfactory
Chennai,2018-07-26,0.82,65.68,21.36,63.0,Satisfactory
Chennai,2018-07-27,0.85,61.41,24.76,63.0,Satisfactory
Chennai,2018-07-28,0.81,43.4,25.2,95.0,Satisfactory
Chennai,2018-07-29,0.86,32.43,22.76,97.0,Satisfactory
Chennai,2018-07-30,0.78,22.85,23.22,78.0,Satisfactory
Chennai,2018-07-31,0.82,16.55,25.1,93.0,Satisfactory
Chennai,2018-08-01,0.86,18.58,25.12,80.0,Satisfactory
Chennai,2018-08-02,0.94,12.28,26.54,91.0,Satisfactory
Chennai,2018-08-03,0.79,15.24,22.93,71.0,Satisfactory
Chennai,2018-08-04,0.8,15.25,22.68,79.0,Satisfactory
Chennai,2018-08-05,0.78,12.9,21.71,107.0,Moderate
Chennai,2018-08-06,0.83,16.64,22.73,123.0,Moderate
Chennai,2018-08-07,0.76,14.28,21.88,96.0,Satisfactory
Chennai,2018-08-08,0.74,18.38,21.79,57.0,Satisfactory
Chennai,2018-08-09,0.81,14.63,21.28,54.0,Satisfactory
Chennai,2018-08-10,0.8,16.63,24.69,63.0,Satisfactory
Chennai,2018-08-11,0.85,16.31,23.67,87.0,Satisfactory
Chennai,2018-08-12,0.79,12.63,20.63,60.0,Satisfactory
Chennai,2018-08-13,0.86,15.54,20.26,60.0,Satisfactory
Chennai,2018-08-14,0.8,14.31,17.3,71.0,Satisfactory
Chennai,2018-08-15,0.73,15.45,16.34,61.0,Satisfactory
Chennai,2018-08-16,0.78,36.4,15.11,53.0,Satisfactory
Chennai,2018-08-17,0.86,74.25,17.11,76.0,Satisfactory
Chennai,2018-08-18,0.85,69.27,18.69,126.0,Moderate
Chennai,2018-08-19,0.8,69.49,17.73,111.0,Moderate
Chennai,2018-08-20,0.83,74.85,18.76,152.0,Moderate
Chennai,2018-08-21,0.73,68.84,16.74,148.0,Moderate
Chennai,2018-08-22,0.83,67.39,16.0,161.0,Moderate
Chennai,2018-08-23,0.81,65.92,17.76,74.0,Satisfactory
Chennai,2018-08-24,0.83,69.9,16.66,71.0,Satisfactory
Chennai,2018-08-25,0.77,61.54,16.2,106.0,Moderate
Chennai,2018-08-26,0.8,66.35,16.09,81.0,Satisfactory
Chennai,2018-08-27,0.9,71.97,18.75,70.0,Satisfactory
Chennai,2018-08-28,0.67,74.44,17.38,62.0,Satisfactory
Chennai,2018-08-29,0.83,65.29,19.87,58.0,Satisfactory
Chennai,2018-08-30,0.82,14.89,16.49,89.0,Satisfactory
Chennai,2018-08-31,0.93,9.19,15.98,83.0,Satisfactory
Chennai,2018-09-01,0.84,18.85,19.22,65.0,Satisfactory
Chennai,2018-09-02,0.78,18.32,20.74,84.0,Satisfactory
Chennai,2018-09-03,0.97,12.99,15.68,83.0,Satisfactory
Chennai,2018-09-04,0.85,17.71,16.89,87.0,Satisfactory
Chennai,2018-09-05,0.72,17.27,16.8,111.0,Moderate
Chennai,2018-09-06,0.9,20.23,16.96,93.0,Satisfactory
Chennai,2018-09-07,0.99,28.24,16.34,108.0,Moderate
Chennai,2018-09-08,0.93,30.08,16.92,118.0,Moderate
Chennai,2018-09-09,0.85,23.29,15.16,115.0,Moderate
Chennai,2018-09-10,0.78,22.0,18.5,68.0,Satisfactory
Chennai,2018-09-11,0.85,17.26,16.37,79.0,Satisfactory
Chennai,2018-09-12,0.74,27.07,16.44,70.0,Satisfactory
Chennai,2018-09-13,0.81,18.84,15.41,86.0,Satisfactory
Chennai,2018-09-14,0.76,21.58,14.86,161.0,Moderate
Chennai,2018-09-15,0.8,24.24,16.23,112.0,Moderate
Chennai,2018-09-16,0.93,28.89,16.5,97.0,Satisfactory
Chennai,2018-09-17,1.1,33.81,19.66,96.0,Satisfactory
Chennai,2018-09-18,0.86,35.42,20.0,92.0,Satisfactory
Chennai,2018-09-19,0.89,28.55,19.13,80.0,Satisfactory
Chennai,2018-09-20,1.09,51.46,21.45,92.0,Satisfactory
Chennai,2018-09-21,0.83,27.61,18.84,109.0,Moderate
Chennai,2018-09-22,0.78,38.8,19.48,108.0,Moderate
Chennai,2018-09-23,0.67,46.92,14.26,89.0,Satisfactory
Chennai,2018-09-24,0.99,52.74,15.16,111.0,Moderate
Chennai,2018-09-25,0.99,41.41,16.56,107.0,Moderate
Chennai,2018-09-26,0.94,40.82,14.65,93.0,Satisfactory
Chennai,2018-09-27,0.74,53.67,13.68,111.0,Moderate
Chennai,2018-09-28,0.78,55.26,13.15,54.0,Satisfactory
Chennai,2018-09-29,0.66,46.25,13.36,58.0,Satisfactory
Chennai,2018-09-30,0.83,45.68,13.77,157.0,Moderate
Chennai,2018-10-01,1.0,60.08,12.48,82.0,Satisfactory
Chennai,2018-10-02,0.97,47.8,13.11,66.0,Satisfactory
Chennai,2018-10-03,0.78,73.66,12.81,63.0,Satisfactory
Chennai,2018-10-04,1.16,50.7,15.72,66.0,Satisfactory
Chennai,2018-10-05,1.05,45.62,18.38,75.0,Satisfactory
Chennai,2018-10-06,1.08,55.39,15.29,81.0,Satisfactory
Chennai,2018-10-07,0.72,56.32,13.8,65.0,Satisfactory
Chennai,2018-10-08,0.85,68.46,17.82,69.0,Satisfactory
Chennai,2018-10-09,1.09,62.49,17.82,96.0,Satisfactory
Chennai,2018-10-10,0.95,50.74,21.12,164.0,Moderate
Chennai,2018-10-11,0.88,53.93,19.25,147.0,Moderate
Chennai,2018-10-12,0.96,72.48,18.38,90.0,Satisfactory
Chennai,2018-10-13,0.88,74.8,13.52,82.0,Satisfactory
Chennai,2018-10-14,0.66,73.68,15.82,65.0,Satisfactory
Chennai,2018-10-15,0.88,83.04,12.85,70.0,Satisfactory
Chennai,2018-10-16,0.8,56.22,12.68,68.0,Satisfactory
Chennai,2018-10-17,1.06,58.51,15.63,77.0,Satisfactory
Chennai,2018-10-18,0.94,61.61,17.18,67.0,Satisfactory
Chennai,2018-10-19,1.1,74.61,19.41,91.0,Satisfactory
Chennai,2018-10-20,1.12,68.62,22.31,110.0,Moderate
Chennai,2018-10-21,0.89,106.37,16.62,124.0,Moderate
Chennai,2018-10-22,0.96,81.41,19.55,218.0,Poor
Chennai,2018-10-23,0.63,53.42,20.24,170.0,Moderate
Chennai,2018-10-24,0.75,73.34,19.44,160.0,Moderate
Chennai,2018-10-25,0.87,79.17,21.39,140.0,Moderate
Chennai,2018-10-26,2.03,103.82,19.89,144.0,Moderate
Chennai,2018-10-27,0.82,83.85,23.1,126.0,Moderate
Chennai,2018-10-28,0.97,103.85,20.55,115.0,Moderate
Chennai,2018-10-29,0.84,93.1,19.05,158.0,Moderate
Chennai,2018-10-30,0.8,99.69,17.96,98.0,Satisfactory
Chennai,2018-10-31,1.15,88.8,17.33,78.0,Satisfactory
Chennai,2018-11-01,1.09,99.75,17.66,83.0,Satisfactory
Chennai,2018-11-02,1.1,103.28,15.78,89.0,Satisfactory
Chennai,2018-11-03,0.87,84.08,14.37,65.0,Satisfactory
Chennai,2018-11-04,0.79,88.05,13.34,167.0,Moderate
Chennai,2018-11-05,0.99,106.45,15.35,85.0,Satisfactory
Chennai,2018-11-06,1.03,113.81,17.64,72.0,Satisfactory
Chennai,2018-11-07,0.99,112.75,18.17,128.0,Moderate
Chennai,2018-11-08,0.94,101.65,21.91,96.0,Satisfactory
Chennai,2018-11-09,1.14,90.68,16.56,133.0,Moderate
Chennai,2018-11-10,1.22,85.32,20.53,137.0,Moderate
Chennai,2018-11-11,1.06,101.08,17.52,155.0,Moderate
Chennai,2018-11-12,1.23,102.19,19.12,185.0,Moderate
Chennai,2018-11-13,1.19,99.8,22.32,231.0,Poor
Chennai,2018-11-14,1.01,96.22,21.1,210.0,Poor
Chennai,2018-11-15,0.99,95.63,16.54,135.0,Moderate
Chennai,2018-11-16,0.98,103.8,14.07,68.0,Satisfactory
Chennai,2018-11-17,1.0,103.08,16.46,71.0,Satisfactory
Chennai,2018-11-18,0.99,98.47,15.57,78.0,Satisfactory
Chennai,2018-11-19,1.03,102.83,13.35,70.0,Satisfactory
Chennai,2018-11-20,1.09,107.93,15.15,72.0,Satisfactory
Chennai,2018-11-21,0.88,103.82,13.69,65.0,Satisfactory
Chennai,2018-11-22,0.92,40.44,17.85,60.0,Satisfactory
Chennai,2018-11-23,1.0,59.67,18.11,70.0,Satisfactory
Chennai,2018-11-24,0.94,62.72,21.25,162.0,Moderate
Chennai,2018-11-25,0.95,51.32,18.89,234.0,Poor
Chennai,2018-11-26,1.05,30.88,24.37,211.0,Poor
Chennai,2018-11-27,1.24,39.32,22.07,141.0,Moderate
Chennai,2018-11-28,0.94,39.76,20.05,123.0,Moderate
Chennai,2018-11-29,0.87,34.41,18.07,90.0,Satisfactory
Chennai,2018-11-30,0.91,36.59,18.47,79.0,Satisfactory
Chennai,2018-12-01,0.85,34.77,19.72,96.0,Satisfactory
Chennai,2018-12-02,0.82,30.73,16.96,74.0,Satisfactory
Chennai,2018-12-03,1.09,34.09,17.89,67.0,Satisfactory
Chennai,2018-12-04,0.98,29.41,17.59,80.0,Satisfactory
Chennai,2018-12-05,1.16,43.69,17.71,86.0,Satisfactory
Chennai,2018-12-06,1.03,41.31,17.19,87.0,Satisfactory
Chennai,2018-12-07,1.06,40.97,16.76,129.0,Moderate
Chennai,2018-12-08,1.06,43.28,16.05,221.0,Poor
Chennai,2018-12-09,1.05,38.86,14.89,224.0,Poor
Chennai,2018-12-10,1.39,42.8,16.81,222.0,Poor
Chennai,2018-12-11,1.13,41.8,19.54,196.0,Moderate
Chennai,2018-12-12,1.04,37.36,23.86,195.0,Moderate
Chennai,2018-12-13,1.05,36.35,20.16,154.0,Moderate
Chennai,2018-12-14,1.08,36.71,19.97,86.0,Satisfactory
Chennai,2018-12-15,0.94,29.36,16.49,149.0,Moderate
Chennai,2018-12-16,0.77,24.23,14.61,155.0,Moderate
Chennai,2018-12-17,1.17,34.09,17.97,89.0,Satisfactory
Chennai,2018-12-18,1.1,33.53,19.64,148.0,Moderate
Chennai,2018-12-19,0.97,36.52,15.74,90.0,Satisfactory
Chennai,2018-12-20,0.99,46.63,16.31,78.0,Satisfactory
Chennai,2018-12-21,0.94,56.57,15.8,81.0,Satisfactory
Chennai,2018-12-22,0.84,56.85,15.84,82.0,Satisfactory
Chennai,2018-12-23,0.91,59.66,16.53,109.0,Moderate
Chennai,2018-12-24,1.03,61.08,16.54,137.0,Moderate
Chennai,2018-12-25,1.04,56.93,17.86,150.0,Moderate
Chennai,2018-12-26,0.93,56.87,16.16,217.0,Poor
Chennai,2018-12-27,1.39,56.72,17.01,182.0,Moderate
Chennai,2018-12-28,1.08,32.55,16.16,160.0,Moderate
Chennai,2018-12-29,1.01,15.8,16.27,205.0,Poor
Chennai,2018-12-30,0.8,16.09,9.74,211.0,Poor
Chennai,2018-12-31,1.01,16.92,11.22,150.0,Moderate
Chennai,2019-01-01,0.86,28.4,13.22,212.0,Poor
Chennai,2019-01-02,1.0,31.32,13.9,158.0,Moderate
Chennai,2019-01-03,0.99,34.77,14.86,167.0,Moderate
Chennai,2019-01-04,0.9,63.69,14.64,192.0,Moderate
Chennai,2019-01-05,0.98,57.52,13.88,116.0,Moderate
Chennai,2019-01-06,0.86,63.61,14.49,186.0,Moderate
Chennai,2019-01-07,0.86,63.64,14.19,168.0,Moderate
